case_id,query,country,city,expected_ror_id,stratum,source,notes,adjudication_status,adjudication_confidence,adjudication_basis,adjudicated_at
case-7cc14fade058,Ministerio de Ciencia y Tecnologia de Costa Rica,CR,San Jose,https://ror.org/05dbsyw70,standard,CORDIS:958320134,CORDIS organisationID=958320134; shortName=MICIT; activityType=PUB,match,high,Same Costa Rican ministry under its current telecommunications-inclusive name; MICIT website agrees.,2026-07-17
case-e9cac5b26752,Universidad de Moa,CU,Moa,https://ror.org/012ngjb50,standard,CORDIS:891240754,CORDIS organisationID=891240754; shortName=UMoa; activityType=HES,match,high,Official ROR affiliation endpoint selected the same-country record; pinned v2.8 record corroborates it.,2026-07-17
case-6417e00055fa,Universidade Lusófona de Cabo Verde,CV,Mindelo,,multilingual,CORDIS:867275546,CORDIS organisationID=867275546; shortName=Cooperativa de Formação e Animação Cultural - Sucursal de Cabo Verde; activityType=PRC,no_match,medium,No separate Cape Verde branch record found; rejected both University of Cape Verde and the Portuguese Lusofona parent as different entities.,2026-07-17
case-b9c20ea249e4,STICHTING SECRETARIAAT CURACAOS INFORMATICA STIMULERINGSPLAN,CW,WILLEMSTAD,,standard,CORDIS:907773531,CORDIS organisationID=907773531; activityType=OTH,no_match,high,No corresponding organisation found in official ROR affiliation/name searches or the pinned v2.8 dump.,2026-07-17
case-691255657d81,Cyprus police,CY,Nicosia,https://ror.org/008y40y60,short_name,CORDIS:999810623,CORDIS organisationID=999810623; activityType=PUB,match,high,Official ROR affiliation endpoint selected the same-country record; pinned v2.8 record corroborates it.,2026-07-17
case-fefb10505ea8,STREDISKO SPOLECNYCH CINNOSTI AV CR v.v.i.,CZ,Prague 1,https://ror.org/03zkxs276,standard,CORDIS:998241163,"CORDIS organisationID=998241163; shortName=SSC AV CR, v.v.i.; activityType=PUB",match,high,Official ROR affiliation endpoint selected the same-country record; pinned v2.8 record corroborates it.,2026-07-17
case-53e8ffdfea1d,REDIMI GMBH,DE,Berlin,,short_name,CORDIS:886434404,CORDIS organisationID=886434404; activityType=PRC,no_match,high,No corresponding organisation found in official ROR affiliation/name searches or the pinned v2.8 dump.,2026-07-17
case-00352f44fe7c,GLOBAL SUSTAINABLE TRANSFORMATION GST GmbH,DE;HU,Dachau,,standard,CORDIS:890066569,CORDIS organisationID=890066569; shortName=GST; activityType=PRC,no_match,high,No corresponding organisation found in official ROR affiliation/name searches or the pinned v2.8 dump.,2026-07-17
case-c114ecf96cf4,ASSOCIATION INSTITUT DE RECHERCHE INDEPENDANT DE LA CORNE D'AFRIQUE,DJ,Djibouti,,standard,CORDIS:872198975,CORDIS organisationID=872198975; shortName=IRICA; activityType=REC,no_match,high,No corresponding organisation found in official ROR affiliation/name searches or the pinned v2.8 dump.,2026-07-17
case-7c526c2b3ac7,BOLDING & BRUGGEMAN APS,DK,Asperup,https://ror.org/05hc3k973,standard,CORDIS:998704241,CORDIS organisationID=998704241; shortName=BB; activityType=PRC,match,high,Official ROR affiliation endpoint selected the same-country record; pinned v2.8 record corroborates it.,2026-07-17
case-fc5e7d5707dd,PONTIFICIA UNIVERSIDAD CATOLICA MADRE Y MAESTRA,DO,Santiago De Los Caballeros,https://ror.org/02m457w49,standard,CORDIS:914352362,CORDIS organisationID=914352362; activityType=HES,match,high,Official ROR affiliation endpoint selected the same-country record; pinned v2.8 record corroborates it.,2026-07-17
case-d9afbb5a1804,UNIVERSITE DE GHARDAIA,DZ,Ghardaia,https://ror.org/02ck5yd04,standard,CORDIS:932844539,CORDIS organisationID=932844539; activityType=HES,match,high,Official Arabic/English ROR record for the University of Ghardaia; country and city agree.,2026-07-17
case-5ba9f43adb1f,Facultad Latinoamericana de Ciencias Sociales,EC,Quito,https://ror.org/02rz0r794,standard,CORDIS:918467587,CORDIS organisationID=918467587; activityType=OTH,match,high,Official ROR name search and the pinned v2.8 dump identify the same-country record.,2026-07-17
case-9f3d9c8c3a6b,MDSC SYSTEMS OU,EE,Tallinn,,standard,CORDIS:888587610,CORDIS organisationID=888587610; activityType=PRC,no_match,high,No corresponding organisation found in official ROR affiliation/name searches or the pinned v2.8 dump.,2026-07-17
case-cb5daafce7ba,NORTH-SOUTH CONSULTANTS EXCHANGE LLC,EG,CAIRO,https://ror.org/020az2v11,standard,CORDIS:998147558,CORDIS organisationID=998147558; shortName=North South Consultants Exchange; activityType=PRC,match,high,Official ROR name search and the pinned v2.8 dump identify the same-country record.,2026-07-17
case-9e6628678946,ENVECO ANONYMI ETAIRIA PROSTASIAS KAI DIAHIRISIS PERIVALLONTOS A.E.,EL,MAROUSI,,standard,CORDIS:901548653,CORDIS organisationID=901548653; shortName=ENVECO S.A. ENVIRONMENTAL PROTECTION  AND MANAGEMENT; activityType=PRC,no_match,high,No corresponding organisation found in official ROR affiliation/name searches or the pinned v2.8 dump.,2026-07-17
case-20bb0c3333d6,CENTRE CIM FUNDACIO PRIVADA,ES,Barcelona,https://ror.org/03z97cd47,standard,CORDIS:965891760,CORDIS organisationID=965891760; shortName=FCIM; activityType=REC,match,high,Official ROR name is the reordered Catalan form 'Fundacio Privada Centre CIM'; website agrees.,2026-07-17
case-57121d7e26b1,UNIVERSITY OF GONDAR,ET,Gondar,https://ror.org/0595gz585,standard,CORDIS:954624434,CORDIS organisationID=954624434; shortName=GONDER UNIVERSITY UOG; activityType=HES,match,high,Official ROR affiliation endpoint selected the same-country record; pinned v2.8 record corroborates it.,2026-07-17
case-6ddf9d773bc0,HAMEEN AMMATTIKORKEAKOULU OY,FI,HAMEENLINNA,https://ror.org/01eg9n443,standard,CORDIS:949666473,CORDIS organisationID=949666473; shortName=HAME UNIVERSITY OF APPLIED SCIENCE LTD; activityType=HES,match,high,Official ROR affiliation endpoint selected the same-country record; pinned v2.8 record corroborates it.,2026-07-17
case-b283c207a030,UNIVERSITY OF THE SOUTH PACIFIC,FJ,Suva,https://ror.org/008stv805,standard,CORDIS:997324028,CORDIS organisationID=997324028; shortName=USP; activityType=HES,match,high,Official ROR affiliation endpoint selected the same-country record; pinned v2.8 record corroborates it.,2026-07-17
case-ba21e43234de,PF FIRUM,FO,HVALVIK,,short_name,CORDIS:934035602,CORDIS organisationID=934035602; activityType=PRC,no_match,high,No PF Firum record found in official searches or the pinned dump.,2026-07-17
case-4b63670ad48b,ARWIN,FR,Paris,,acronym,CORDIS:889521526,CORDIS organisationID=889521526; shortName=ARWIN; activityType=PRC,no_match,high,No corresponding organisation found in official ROR affiliation/name searches or the pinned v2.8 dump.,2026-07-17
case-1e69d6815dd9,UNIVERSITE DES SCIENCES ET TECHNIQUE DE MASUKU,GA,FRANCEVILLE,https://ror.org/03f0njg03,standard,CORDIS:919053758,CORDIS organisationID=919053758; activityType=HES,match,high,Official ROR record is the accented French form of the same Masuku university.,2026-07-17
case-a00f1305cb64,GEORGIAN INSTITUTE FOR RESEARCH & INNOVATION,GE,Tbilisi,,standard,CORDIS:873604408,CORDIS organisationID=873604408; shortName=GIRI; activityType=OTH,no_match,high,No corresponding organisation found in official ROR affiliation/name searches or the pinned v2.8 dump.,2026-07-17
case-3c295ef4a85f,"FORUM FOR AGRICULTURAL RESEARCH IN AFRICA, GHANA",GH,ACCRA,https://ror.org/03prz6j20,standard,CORDIS:998296065,CORDIS organisationID=998296065; shortName=FARA; activityType=OTH,match,high,Official ROR affiliation endpoint selected the same-country record; pinned v2.8 record corroborates it.,2026-07-17
case-2b7707d54bf2,UNIVERSITY OF GIBRALTAR,GI,Gibraltar,https://ror.org/057a6gk14,standard,CORDIS:926738874,CORDIS organisationID=926738874; activityType=HES,match,high,Official ROR affiliation endpoint selected the same-country record; pinned v2.8 record corroborates it.,2026-07-17
case-c8a2a0c20cae,GRONLANDS NATURINSTITUT,GL,Nuuk,https://ror.org/0342y5q78,short_name,CORDIS:998297908,CORDIS organisationID=998297908; activityType=REC,match,high,Official ROR affiliation endpoint selected the same-country record; pinned v2.8 record corroborates it.,2026-07-17
case-394a8d3283c0,THE NATIONAL SEED SECRETARIAT,GM,BANJUL,,standard,CORDIS:885727468,CORDIS organisationID=885727468; shortName=National Seed Secretariat; activityType=REC,no_match,high,No corresponding organisation found in official ROR affiliation/name searches or the pinned v2.8 dump.,2026-07-17
case-f2a131d1a75f,CENTRE NATIONAL DE FORMATION ET DE RECHERCHE EN SANTE RURALE DE MAFERINYAH,GN,FORECARIAH,,standard,CORDIS:882399689,CORDIS organisationID=882399689; shortName=Centre National de Formation et de Recherche en Santé Rurale de Maferinyah; activityType=REC,no_match,high,No corresponding organisation found in official ROR affiliation/name searches or the pinned v2.8 dump.,2026-07-17
case-f0246723a75f,UNIVERSIDAD NACIONAL DE GUINEA ECUATORIAL,GQ,MALABO,https://ror.org/045m93336,standard,CORDIS:909454541,CORDIS organisationID=909454541; shortName=UNGE; activityType=HES,match,high,Official ROR name search and the pinned v2.8 dump identify the same-country record.,2026-07-17
case-e169dc10a410,UNIVERSIDAD SAN PABLO DE GUATEMALA,GT,Guatemala,,standard,CORDIS:889102292,CORDIS organisationID=889102292; activityType=HES,no_match,high,No Guatemalan record found; rejected the similarly named Mexican Universidad San Pablo.,2026-07-17
case-4b1165e34236,University of Guam,GU,Mangilao,https://ror.org/00376bg92,standard,CORDIS:908150764,CORDIS organisationID=908150764; shortName=University of Guam; activityType=PUB,match,high,Official ROR affiliation endpoint selected the same-country record; pinned v2.8 record corroborates it.,2026-07-17
case-2a2ccd984727,Comité Nacional de Ética em Pesquisa na Saúde (CNEPS),GW,Bissau,,multilingual,CORDIS:917086986,CORDIS organisationID=917086986; activityType=PUB,no_match,high,No corresponding organisation found in official ROR affiliation/name searches or the pinned v2.8 dump.,2026-07-17
case-2b37522a2f41,University of Hong Kong,HK,Hong Kong,https://ror.org/02zhqgq86,standard,CORDIS:901812881,CORDIS organisationID=901812881; activityType=PRC,match,high,Official ROR affiliation endpoint selected the same-country record; pinned v2.8 record corroborates it.,2026-07-17
case-9fa546614548,Splitsko-dalmatinska županija,HR,Split,,multilingual,CORDIS:996539201,CORDIS organisationID=996539201; activityType=PUB,no_match,high,No corresponding organisation found in official ROR affiliation/name searches or the pinned v2.8 dump.,2026-07-17
case-2159e5425e87,LES CENTRES GHESKIO,HT,Port-Au-Prince,https://ror.org/04hbame29,standard,CORDIS:999554640,CORDIS organisationID=999554640; shortName=GHESKIO; activityType=REC,match,high,"Official ROR record for GHESKIO Centers; acronym, country and organisation identity agree.",2026-07-17
case-5328b00e9a41,AITIA INTERNATIONAL INFORMATIKAI ZARTKORUEN MUKODO RT,HU,Budapest,https://ror.org/02fwr8382,standard,CORDIS:997393577,CORDIS organisationID=997393577; shortName=AITIA INTERNATIONAL; activityType=PRC,match,high,Official ROR record for AITIA International; legal-name variant and website agree.,2026-07-17
case-5bfe3a16c889,UNIVERSITAS MUHAMMADIYAH PONTIANAK,ID,Pontianak,https://ror.org/04s11gh14,standard,CORDIS:908038729,CORDIS organisationID=908038729; shortName=UNIVERSITAS MUHAMMADIYAH PONTIANAK; activityType=HES,match,high,Official ROR affiliation endpoint selected the same-country record; pinned v2.8 record corroborates it.,2026-07-17
case-a8422dab948e,PERACTON LIMITED,IE,Galway,,short_name,CORDIS:937904447,CORDIS organisationID=937904447; shortName=PERACTON; activityType=PRC,no_match,high,No corresponding organisation found in official ROR affiliation/name searches or the pinned v2.8 dump.,2026-07-17
case-277f81ee6aec,ENSPIRE SCIENCE LTD,IL,REHOVOT,,standard,CORDIS:905336988,CORDIS organisationID=905336988; activityType=PRC,no_match,high,No corresponding organisation found in official ROR affiliation/name searches or the pinned v2.8 dump.,2026-07-17
case-ace3af86a4c4,ETHOS LIMITED,IM,DOUGLAS,,short_name,CORDIS:886558758,CORDIS organisationID=886558758; shortName=ETHOS LIMITED; activityType=PRC,no_match,high,No corresponding organisation found in official ROR affiliation/name searches or the pinned v2.8 dump.,2026-07-17
case-06b7a42e7e87,INTERNATIONAL INSTITUTE OF MIGRATION AND DEVELOPMENT,IN,TRIVANDRUM,,standard,CORDIS:883387731,CORDIS organisationID=883387731; activityType=REC,no_match,high,No corresponding organisation found in official ROR affiliation/name searches or the pinned v2.8 dump.,2026-07-17
case-2f93891ec1d6,Yazda Al Iraq Organization,IQ,Duhok,,standard,CORDIS:896083479,CORDIS organisationID=896083479; shortName=Yazda; activityType=OTH,no_match,high,No corresponding organisation found in official ROR affiliation/name searches or the pinned v2.8 dump.,2026-07-17
case-ab2c7440b625,INSTITUTE FOR RESEARCH IN FUNDAMENTAL SCIENCES (IPM),IR,TEHRAN,https://ror.org/04xreqs31,standard,CORDIS:929067553,CORDIS organisationID=929067553; shortName=IPM; activityType=REC,match,high,Official ROR name search and the pinned v2.8 dump identify the same-country record.,2026-07-17
case-33fc8773ac01,ISLENSKI SJAVARKLASINN EHF,IS,Reykjavik,,standard,CORDIS:906225605,CORDIS organisationID=906225605; shortName=Iceland Ocean Cluster; activityType=PRC,no_match,high,No corresponding organisation found in official ROR affiliation/name searches or the pinned v2.8 dump.,2026-07-17
case-895104975799,FONDAZIONE ACRA ETS,IT,MILANO,,standard,CORDIS:975336456,CORDIS organisationID=975336456; shortName=ACRA; activityType=OTH,no_match,high,No corresponding organisation found in official ROR affiliation/name searches or the pinned v2.8 dump.,2026-07-17
case-c2dbaac23501,THE UNIVERSITY OF THE WEST INDIES U WI*,JM,Kingston,https://ror.org/03fkc8c64,standard,CORDIS:999871248,CORDIS organisationID=999871248; shortName=UWI; activityType=HES,match,medium,Selected the Mona/Kingston campus record because the CORDIS country and city are Jamaica.,2026-07-17
case-b4507ac780a2,HASHEMITE UNIVERSITY,JO,ZARQA,https://ror.org/04a1r5z94,short_name,CORDIS:991910070,CORDIS organisationID=991910070; shortName=HU; activityType=REC,match,high,Official ROR affiliation endpoint selected the same-country record; pinned v2.8 record corroborates it.,2026-07-17
case-bc2146d7dce3,NATIONAL INSTITUTE FOR ENVIRONMENTAL STUDIES,JP,Tsukuba,https://ror.org/02hw5fp67,standard,CORDIS:986399112,CORDIS organisationID=986399112; shortName=NIES; activityType=REC,match,high,Official ROR affiliation endpoint selected the same-country record; pinned v2.8 record corroborates it.,2026-07-17
case-f8c09d181cae,UNIVERSITY OF KABIANGA,KE,KERICHO,https://ror.org/03rk9qf06,standard,CORDIS:913866683,CORDIS organisationID=913866683; shortName=University of Kabianga; activityType=HES,match,high,Official ROR affiliation endpoint selected the same-country record; pinned v2.8 record corroborates it.,2026-07-17
case-9178bd83e918,ANTICORRUPTION BUSINESS COUNCIL OF THE KYRGYZ REPUBLIC,KG,BISHKEK,,standard,CORDIS:897498612,CORDIS organisationID=897498612; activityType=PUB,no_match,high,No Kyrgyz council record found; rejected an unrelated US API candidate.,2026-07-17
case-b7e2b41f1b02,ROYAL UNIVERSITY OF AGRICULTURE,KH,Phnom Penh,https://ror.org/033dmae14,standard,CORDIS:994168036,CORDIS organisationID=994168036; shortName=RUA; activityType=HES,match,high,Official ROR record for the Royal University of Agriculture; country agrees.,2026-07-17
case-641d699d2907,UNIVERSITE DES COMORES,KM,Moroni,,standard,CORDIS:913877256,CORDIS organisationID=913877256; shortName=UDC; activityType=HES,no_match,high,No Universite des Comores record found in official searches or the pinned dump.,2026-07-17
case-8dfbb110cfc6,iNGR Inc.,KR,Andong-si,https://ror.org/05jv9bv25,short_name,CORDIS:869711216,CORDIS organisationID=869711216; shortName=iNGR Inc.; activityType=PRC,match,high,Official ROR name search and the pinned v2.8 dump identify the same-country record.,2026-07-17
case-e2343a3131d4,The Public Authority for Applied Education and Training,KW,Kuwait,https://ror.org/024242h31,standard,CORDIS:885547727,CORDIS organisationID=885547727; shortName=The Public Authority for Applied Education and Training; activityType=HES,match,high,Official ROR affiliation endpoint selected the same-country record; pinned v2.8 record corroborates it.,2026-07-17
case-9657e9e60b22,ULBI METALLURGYALTZ ZAUYTY,KZ,UST KAMENOGORSK,,standard,CORDIS:870076712,CORDIS organisationID=870076712; activityType=PRC,no_match,high,No Ulba Metallurgical Plant record found in official searches or the pinned dump.,2026-07-17
case-e21203655676,PARTICIPATORY DEVELOPMENT KNOWLEDGE AGENCY,LA,VIENTIANE,,standard,CORDIS:892816228,CORDIS organisationID=892816228; shortName=PARTICIPATORY DEVELOPMENT KNOWLEDGE AGENCY; activityType=PRC,no_match,high,No corresponding organisation found in official ROR affiliation/name searches or the pinned v2.8 dump.,2026-07-17
case-b0da530019c3,OFFICE D'EXPLOITATION DU PORT DE TRIPOLI,LB,Tripoli,,standard,CORDIS:906155862,CORDIS organisationID=906155862; shortName=OEPT; activityType=PUB,no_match,high,No corresponding organisation found in official ROR affiliation/name searches or the pinned v2.8 dump.,2026-07-17
case-9b1ed326e075,LIECHTENSTEIN-INSTITUT,LI,GAMPRIN-BENDERN,https://ror.org/02v7y7w12,short_name,CORDIS:940679035,CORDIS organisationID=940679035; activityType=REC,match,high,Official ROR affiliation endpoint selected the same-country record; pinned v2.8 record corroborates it.,2026-07-17
case-193f053b7a48,UNIVERSITY OF SRI JAYEWARDENEPURA,LK,Nugegoda,https://ror.org/02rm76t37,standard,CORDIS:992678019,CORDIS organisationID=992678019; activityType=HES,match,high,Official ROR affiliation endpoint selected the same-country record; pinned v2.8 record corroborates it.,2026-07-17
